bg,am,co,cs,eu,na
11,2,36,33,49,18
4,8,37,27,46,26
10,4,26,28,55,12
4,3,41,28,49,20
1,2,35,20,55,8
3,6,36,33,45,17
0,6,31,38,46,26
3,6,40,40,61,23
5,7,49,37,43,21
5,8,39,25,52,16
3,3,31,33,51,30
2,4,27,31,49,18
3,4,27,25,48,28
4,5,41,15,54,23
4,7,37,23,47,18
1,7,42,25,52,21
3,2,39,26,47,27
4,3,28,23,42,34
4,4,36,20,49,24
5,3,39,36,59,21
2,4,33,21,37,24
4,5,44,13,43,29
6,1,31,30,45,24
5,1,29,18,42,46
5,1,36,19,50,33
2,6,32,24,56,36
7,5,44,13,56,54
6,5,34,10,50,38
2,9,38,27,51,48
2,4,43,17,28,49
5,6,42,10,47,51
6,5,32,16,39,54
5,7,28,19,48,53
3,7,39,19,43,60
1,5,33,17,60,46
6,5,39,17,50,61
6,4,40,18,51,59
3,6,35,22,53,43
8,2,47,23,49,50
3,5,33,22,56,50
7,4,45,17,54,62
6,2,25,20,43,65
6,7,31,13,51,66
2,1,35,13,54,67
7,7,43,16,44,67
3,5,30,18,42,68
4,5,33,16,49,72
3,6,31,13,59,79
7,7,47,15,32,71
3,6,41,15,57,56
4,10,33,11,42,64
6,2,32,12,62,49
3,8,34,16,55,77
6,7,29,20,55,75
4,3,38,15,47,68
7,4,31,12,43,71
3,2,32,17,48,74
3,3,33,17,36,56
2,1,37,14,42,77
3,2,41,17,45,58
2,7,49,18,46,59
6,8,41,15,42,74
4,5,36,11,50,55
3,4,37,13,48,66
5,6,33,13,45,59
4,5,38,17,49,68
2,1,28,15,47,60
1,3,24,11,45,58
6,6,36,11,52,72
3,3,24,12,45,67
2,4,38,16,47,59
1,5,34,9,37,53
4,2,36,12,45,46
4,3,48,12,41,51
3,5,34,14,47,48
9,4,31,12,40,47
3,2,36,10,43,42
6,2,41,11,38,42
7,4,36,15,45,46
3,5,40,11,43,48
2,3,47,16,44,50
1,7,35,11,51,45
5,3,36,4,37,38
2,5,27,11,35,30
4,3,38,7,42,34
3,1,39,15,49,41
3,2,47,13,48,32
4,5,37,14,36,23
2,5,32,12,40,38
16,3,27,10,50,29
2,7,35,14,45,21
1,5,31,13,43,41
4,4,37,11,40,27
9,2,28,10,38,27
3,2,39,11,39,22
4,4,34,8,35,25
4,1,35,6,48,28
5,6,42,8,51,14
1,2,30,12,30,17
4,4,35,11,39,20
2,6,37,15,45,25
5,5,24,11,58,14
3,3,34,10,50,19
1,2,23,13,37,14
1,4,39,10,33,12
5,2,36,6,41,15
6,3,42,8,36,19
4,2,26,9,58,8
4,3,24,15,39,7
2,4,28,6,42,8
4,4,47,9,36,17
3,2,26,7,45,10
2,4,32,6,31,8
1,5,38,7,42,7
5,2,38,11,41,8
1,6,39,6,52,15
1,3,45,12,48,8
2,1,27,4,54,4
4,2,42,12,44,7
6,4,35,6,42,8
4,2,31,8,37,6
5,2,33,10,41,8
4,1,23,10,40,5
4,3,31,3,41,7
4,4,27,8,43,6
1,2,42,14,36,5
4,1,31,9,34,11
2,2,42,8,42,9
5,5,35,9,37,5
2,4,31,8,35,4
2,6,38,4,48,8
7,3,39,5,49,2
6,1,36,9,30,6
2,3,41,6,51,11
3,3,37,8,43,3
2,3,35,12,39,2
4,2,33,4,35,5
1,3,28,4,39,4
5,4,34,7,50,5
2,6,41,8,42,6
2,3,45,7,42,6
6,6,35,9,45,7
1,3,34,10,40,0
4,6,41,10,44,5
2,4,20,11,42,5
3,5,29,13,42,4
7,5,33,6,44,7
4,4,33,15,35,3
2,2,36,9,39,4
9,4,46,10,44,4
4,7,43,15,45,7
9,0,35,7,44,4
4,4,44,11,58,9
4,2,44,9,25,7
3,5,30,7,39,4
5,2,26,11,43,7
3,7,39,16,43,5
0,6,43,6,38,3
3,9,40,15,41,1
4,3,37,11,43,4
5,3,30,14,41,4
5,5,32,13,32,4
6,3,36,11,37,3
3,9,21,14,35,2
3,5,28,20,36,2
2,7,37,12,36,5
3,7,21,13,32,9
3,3,46,7,47,4
5,4,38,22,36,9
2,5,31,17,21,2
4,5,33,15,37,6
4,2,37,20,27,8
7,5,30,11,41,7
6,5,33,17,37,6
5,2,40,14,30,10
3,6,36,17,33,8
3,5,28,28,35,6
2,6,28,13,45,11
6,4,24,21,41,8
3,6,36,24,36,4
1,4,46,24,33,1
1,6,41,16,34,2
1,2,34,21,28,7
4,6,44,26,36,7
7,5,33,23,35,7
2,5,42,39,41,6
5,4,42,40,32,6
1,4,24,41,36,2
0,6,36,37,35,6
3,3,32,31,41,4
3,4,36,52,27,2
2,3,39,38,28,6
4,4,26,37,35,7
3,5,34,44,52,7
3,4,41,47,30,6
5,1,39,41,31,7
6,6,30,56,40,3
0,2,28,40,33,8
3,3,31,53,44,6
4,0,23,59,32,4
2,1,46,78,27,2
2,1,44,56,32,6
0,7,35,49,23,6
5,3,35,69,28,6
3,4,31,83,34,1
3,3,24,78,33,5
2,1,34,74,34,8
3,0,25,85,29,3
1,5,41,82,36,5
3,2,29,88,29,1
1,3,37,82,31,3
6,1,30,92,29,6
2,4,36,99,31,4
5,2,20,115,27,4
1,3,29,103,28,5
3,5,40,105,28,4
5,6,35,132,27,4
2,3,26,95,47,3
4,2,49,127,28,2
1,3,36,132,29,4
2,1,31,125,41,4
1,5,35,124,24,2
2,5,45,123,39,7
0,0,24,121,27,2
2,5,24,118,30,2
2,5,34,156,37,3
4,4,33,132,25,5
3,7,33,160,33,5
2,3,36,137,46,4
4,3,24,154,41,9
1,1,32,150,34,9
4,2,32,156,32,7
2,2,34,139,36,4
1,4,35,151,28,4
0,1,25,155,31,5
3,3,43,165,39,7
2,4,29,151,38,3
0,2,29,168,24,5
3,3,26,166,29,4
2,1,30,182,39,9
5,2,26,185,25,4
1,3,37,148,34,2
2,0,33,174,29,4
3,6,30,186,49,3
0,0,25,170,31,9
5,1,43,136,39,8
4,2,49,163,32,1
4,2,22,162,37,4
3,2,30,133,41,8
1,6,35,181,38,3
3,4,36,162,41,1
6,2,34,175,33,4
1,1,28,174,28,0
1,2,36,174,36,6
4,4,36,126,30,2
5,3,31,142,33,2
1,3,35,153,31,6
1,2,29,161,26,8
2,0,45,120,36,5
0,5,33,125,30,9
2,3,34,145,47,4
1,4,24,155,25,2
3,2,34,156,37,3
6,2,35,142,39,3
0,0,37,131,34,1
1,7,31,158,31,4
2,2,44,134,43,7
2,2,22,136,34,4
4,1,30,124,39,5
3,1,30,139,33,8
2,2,40,112,31,3
2,2,18,105,26,9
1,2,33,127,38,10
1,2,23,125,40,5
5,1,23,88,32,7
0,4,35,95,46,4
1,3,32,100,39,3
1,2,28,87,40,1
2,1,35,89,31,8
3,3,30,64,37,4
3,1,33,92,30,7
4,3,33,88,33,8
0,2,41,72,36,6
1,2,31,75,33,3
1,3,33,70,40,5
0,2,41,65,31,5
1,1,33,60,32,10
1,0,33,47,40,3
2,3,35,49,46,5
5,3,28,41,30,3
1,0,23,55,23,6
2,1,38,50,36,3
2,1,31,52,31,6
1,1,29,45,26,2
0,2,36,49,35,4
1,3,40,31,37,5
2,1,33,35,22,7
1,1,40,37,32,1
1,3,40,26,28,7
2,0,31,30,37,5
0,5,32,31,29,5
1,4,28,31,28,2
2,1,25,25,41,3
0,2,26,31,37,1
0,3,38,24,33,3
4,3,40,13,40,5
0,1,29,25,35,3
1,5,30,12,41,7
1,2,29,22,24,2
3,0,33,20,43,4
0,2,29,17,33,6
1,2,34,12,32,3
1,2,38,15,35,6
1,1,31,7,32,2
0,3,26,11,26,4
0,2,26,14,36,3
0,1,36,11,38,1
0,2,41,12,35,4
2,1,41,10,38,4
4,1,32,8,21,2
2,3,43,7,37,3
3,2,42,11,30,1
1,2,38,11,33,7
4,1,36,8,34,2
0,0,26,6,45,2
2,2,29,3,24,2
2,0,26,6,38,5
2,2,30,7,33,2
1,4,39,6,25,5
4,3,38,5,32,3
1,1,33,4,35,1
1,4,40,5,35,2
1,0,37,4,37,3
1,0,35,3,31,1
2,2,30,2,28,7
2,2,27,4,38,2
1,2,47,3,31,1
2,3,32,2,37,3
2,0,36,4,35,2
2,1,37,3,41,2
1,4,26,1,36,4
0,2,32,2,41,3
1,3,29,1,29,3
1,0,28,3,27,3
2,3,30,3,32,6
4,1,35,1,32,4
2,4,17,2,48,2
3,1,34,1,34,9
2,2,30,2,36,2
2,1,32,2,33,4
0,3,41,3,37,4
1,2,35,4,54,2
1,2,35,5,47,3
1,2,29,1,40,3
0,0,37,2,44,3
2,2,39,2,38,5
2,1,27,0,39,5
0,4,40,1,47,3
0,2,28,2,26,3
2,5,36,0,42,6
0,3,27,2,50,8
0,0,27,2,39,6
0,1,33,2,38,0
1,1,26,2,53,2
1,3,35,1,45,2
2,0,27,2,48,2
2,2,33,4,42,6
1,2,32,3,67,5
2,2,31,2,53,4
1,0,21,0,35,2
2,2,28,2,57,5
1,0,31,3,49,3
0,0,42,3,50,1
1,1,32,2,49,0
2,2,35,2,49,3
2,3,43,2,59,7
0,0,36,2,45,4
3,6,34,4,55,2
0,3,30,2,52,3
1,1,35,2,44,2
1,2,26,1,65,2
3,1,36,1,58,2
3,1,29,0,45,3
3,2,40,1,45,4
0,3,33,1,57,4
3,3,34,2,45,4
6,5,44,1,54,7
0,3,40,3,54,6
3,1,55,2,38,2
3,1,28,5,50,3
1,1,33,2,53,4
3,3,31,1,52,10
3,3,40,2,46,1
0,3,25,3,60,3
2,1,41,2,51,4
0,0,32,1,53,10
2,2,28,1,57,4
1,1,32,2,55,7
3,0,39,2,50,3
2,5,35,3,52,2
1,0,19,2,49,3
2,1,32,0,43,4
1,3,28,2,66,5
2,0,22,2,53,0
0,4,26,2,46,3
6,3,18,1,58,2
1,0,37,3,56,1
4,3,28,2,50,1
0,1,32,2,59,3
3,1,32,4,52,2
1,4,27,0,53,2
0,0,31,0,40,4
1,0,40,1,52,3
2,2,38,1,48,6
2,1,40,5,53,2
1,0,38,0,44,2
3,1,40,2,38,3
4,0,33,0,41,4
0,3,33,1,45,4
0,2,25,1,57,2
1,1,35,0,44,4
2,2,35,0,39,2
0,2,31,0,32,2
1,0,42,2,49,2
1,0,30,2,41,1
0,1,38,0,36,2
0,1,42,1,45,5
1,1,32,2,49,2
3,3,33,5,36,4
4,1,43,4,30,5
1,1,29,4,37,4
3,2,30,2,43,5
1,2,38,1,60,8
1,1,27,2,30,0
2,3,42,1,46,1
1,0,46,2,30,5
0,2,33,4,34,4
2,2,31,2,30,5
0,0,40,4,38,4
1,2,37,0,24,3
1,0,28,3,32,2
0,1,34,3,24,3
2,2,39,1,41,2
0,4,34,2,35,1
1,4,30,2,33,5
1,1,31,0,33,4
0,1,36,1,27,2
1,4,34,0,32,5
0,2,48,2,32,3
2,3,40,0,24,5
0,0,24,3,28,0
2,1,48,0,28,6
4,0,44,0,24,1
0,1,34,1,30,5
0,0,37,5,21,3
2,1,53,4,24,2
1,0,37,1,23,3
0,2,41,1,35,3
0,2,42,1,31,8
4,2,42,2,22,5
0,1,36,3,25,4
1,3,43,0,31,4
1,2,33,0,20,4
0,4,44,1,27,2
1,1,35,0,28,3
1,0,39,3,22,3
0,1,34,0,37,5
2,1,30,2,22,4
0,3,44,2,30,2
0,3,22,4,23,3
0,2,31,0,23,5
1,1,29,4,25,2
0,1,39,0,23,3
1,0,45,1,39,2
1,0,41,2,26,4
1,1,39,3,30,3
1,1,25,1,32,3
0,1,45,2,35,4
3,1,34,1,20,3
1,1,45,2,24,4
0,2,33,2,33,3
1,1,30,1,32,5
3,3,34,2,37,3
0,1,25,2,25,3
1,3,45,1,35,8
1,1,40,0,25,6
1,1,35,5,24,5
1,2,30,2,27,5
0,0,48,1,27,3
1,1,35,1,24,4
0,2,33,4,29,4
0,0,30,2,32,7
5,1,41,4,29,3
0,1,43,3,30,2
0,0,37,1,32,4
2,2,28,2,27,0
0,1,35,3,27,6
0,1,46,2,20,5
0,1,37,1,23,5
1,2,38,0,25,2
1,1,40,2,27,5
4,3,34,1,14,5
2,4,34,3,23,4
1,1,38,1,22,3
0,1,38,1,31,4
1,3,34,1,34,3
3,2,40,1,23,1
1,0,37,0,29,4
1,0,42,1,27,4
3,1,33,3,35,2
3,3,38,1,21,5
1,0,22,2,20,3
3,1,29,2,27,2
2,4,37,0,30,6
3,0,50,4,25,5
0,2,21,1,20,3
0,2,36,4,30,3
4,3,29,1,30,2
1,0,23,3,20,2
0,3,49,2,31,2
0,0,35,0,31,6
2,2,35,1,30,3
0,4,38,2,19,2
1,2,37,2,21,6
1,0,30,3,37,3
2,3,37,1,18,1
2,1,37,1,23,4
1,1,26,0,27,4
