x,y
0.1489,-1.2231
0.0806,-1.2842
-0.0098,-1.333
-0.0586,-1.3818
-0.1099,-1.4331
-0.1489,-1.4526
-0.188,-1.5015
-0.2393,-1.5527
-0.249,-1.6113
-0.2881,-1.6528
-0.3076,-1.6821
-0.3467,-1.7505
-0.3784,-1.8018
-0.3979,-1.8701
-0.4175,-1.9116
-0.437,-1.9702
-0.4565,-2.0288
-0.4883,-2.0801
-0.5078,-2.1191
-0.5078,-2.1899
-0.5273,-2.2192
-0.5469,-2.2583
-0.5664,-2.3193
-0.5859,-2.3682
-0.6177,-2.3975
-0.6055,-2.4487
-0.647,-2.478
-0.647,-2.5488
-0.6665,-2.5879
-0.686,-2.6172
-0.686,-2.6782
-0.7056,-2.7173
-0.7251,-2.7466
-0.7349,-2.7856
-0.7349,-2.8369
-0.7568,-2.8564
-0.7666,-2.9053
-0.7861,-2.915
-0.7764,-2.9663
-0.8154,-2.9858
-0.8057,-2.9956
-0.8154,-3.0054
-0.8252,-3.0347
-0.8252,-3.0444
-0.835,-3.0542
-0.8447,-3.0542
-0.835,-3.0249
-0.8154,-3.0151
-0.8252,-2.9663
-0.8154,-2.8955
-0.8154,-2.8369
-0.8154,-2.7759
-0.8057,-2.7173
-0.8057,-2.6563
-0.8057,-2.5879
-0.8057,-2.5171
-0.7666,-2.4487
-0.7861,-2.3975
-0.7666,-2.3193
-0.7666,-2.2681
-0.7471,-2.1802
-0.7568,-2.1094
-0.7251,-2.0508
-0.7471,-1.9702
-0.7349,-1.8896
-0.7251,-1.8213
-0.7251,-1.7505
-0.7153,-1.6724
-0.6958,-1.5918
-0.7056,-1.4819
-0.6958,-1.3818
-0.686,-1.2939
-0.6665,-1.1841
-0.6763,-1.084
-0.6567,-0.9839
-0.647,-0.896
-0.647,-0.7959
-0.6567,-0.7153
-0.6274,-0.6177
-0.6055,-0.5469
-0.6274,-0.437
-0.6055,-0.3589
-0.6055,-0.2783
-0.5859,-0.188
-0.5762,-0.1099
-0.5859,0
-0.5566,0.0806
-0.5371,0.1904
-0.5469,0.2783
-0.5273,0.3589
-0.5176,0.459
-0.498,0.5371
-0.4761,0.6274
-0.4565,0.6885
-0.3979,0.7764
-0.3979,0.8569
-0.3467,0.9155
-0.3076,0.9863
-0.2075,1.0547
-0.1392,1.1157
-0.0684,1.1841
-0.0098,1.2354
0.0708,1.2939
0.1001,1.3354
0.1489,1.3843
0.2295,1.4429
0.2686,1.4844
0.3003,1.5234
0.3491,1.5942
0.3589,1.6235
0.3882,1.6821
0.4395,1.7432
0.4492,1.7725
0.4785,1.8311
0.498,1.9019
0.5273,1.9507
0.5371,2.002
0.5591,2.0703
0.5884,2.1313
0.5884,2.1802
0.6177,2.2192
0.6274,2.2607
0.6372,2.3193
0.6885,2.3706
0.708,2.4194
0.7275,2.4585
0.7275,2.5195
0.7471,2.5586
0.7666,2.5879
0.7959,2.6392
0.7959,2.688
0.8276,2.7271
0.8276,2.7686
0.8374,2.7979
0.8667,2.8271
0.8472,2.8564
0.8667,2.8979
0.896,2.9077
0.8862,2.9565
0.9155,2.9858
0.9253,3.0078
0.9253,3.0176
0.957,3.0273
0.9253,3.0273
0.9351,3.0371
0.9155,3.0273
0.9253,3.0273
0.9155,3.0078
0.6372,2.937
0.9253,2.8662
0.9351,2.8174
0.9351,2.7783
0.9058,2.6978
0.9058,2.6392
0.896,2.5781
0.8765,2.5098
0.8862,2.439
0.8667,2.3901
0.8569,2.3193
0.8472,2.2412
0.8276,2.1704
0.8472,2.1021
0.8276,2.041
0.8179,1.9604
0.8179,1.8921
0.7959,1.8018
0.8057,1.7334
0.7959,1.6431
0.7764,1.5527
0.7666,1.4526
0.7666,1.3745
0.7471,1.2549
0.7471,1.1548
0.7471,1.0645
0.7275,0.9668
0.7373,0.8765
0.6885,0.7861
0.7178,0.6885
0.708,0.6079
0.6982,0.5176
0.6885,0.4395
0.6982,0.3491
0.6763,0.2588
0.6763,0.1587
0.6665,0.0708
0.6567,-0.0293
0.6372,-0.0781
0.6372,-0.1782
0.6177,-0.2881
0.6079,-0.3687
0.6079,-0.4468
0.5688,-0.5469
0.5591,-0.6274
0.5469,-0.7056
0.5078,-0.7861
0.4785,-0.8643
0.4395,-0.9546
0.4077,-1.0352
0.3296,-1.1035
0.249,-1.1743
0.1489,-1.2036
0.0903,-1.2646
0.0098,-1.3232
-0.0488,-1.3428
-0.1001,-1.4136
-0.1294,-1.4429
-0.188,-1.4917
-0.2295,-1.5625
-0.2783,-1.6113
-0.3076,-1.6406
-0.3174,-1.7114
-0.3589,-1.7505
-0.3882,-1.8018
-0.3979,-1.8604
-0.4175,-1.8994
-0.437,-1.9702
-0.4663,-2.0093
-0.498,-2.0801
-0.5078,-2.1289
-0.5078,-2.1899
-0.5371,-2.2095
-0.5469,-2.2681
-0.5566,-2.3096
-0.5859,-2.3584
-0.6055,-2.3975
-0.6274,-2.439
-0.6372,-2.4976
-0.6372,-2.5366
-0.6567,-2.5879
-0.6763,-2.6172
-0.686,-2.666
-0.7153,-2.6978
-0.7349,-2.7563
-0.7251,-2.7954
-0.7471,-2.8369
-0.7764,-2.8662
-0.7764,-2.8857
-0.8154,-2.9248
-0.7959,-2.9565
-0.7959,-2.9858
-0.8057,-2.9956
-0.8252,-3.0151
-0.835,-3.0347
-0.835,-3.0347
-0.8447,-3.0347
-0.8447,-3.0664
-0.835,-3.0444
-0.835,-3.0151
-0.8545,-2.9761
-0.7861,-2.915
-0.835,-2.8467
-0.8447,-2.7759
-0.835,-2.7173
-0.8057,-2.6563
-0.8154,-2.5879
-0.7959,-2.5269
-0.8057,-2.4487
-0.8057,-2.3975
-0.7666,-2.3291
-0.7764,-2.2583
-0.7764,-2.1997
-0.7666,-2.1094
-0.7471,-2.0605
-0.7568,-1.98
-0.7153,-1.9116
-0.7471,-1.8311
-0.7251,-1.7505
-0.7251,-1.6626
-0.6958,-1.5723
-0.7056,-1.5015
-0.6763,-1.394
-0.686,-1.2842
-0.6763,-1.1841
-0.647,-1.0938
-0.6665,-0.9937
-0.6567,-0.896
-0.6567,-0.8154
-0.6274,-0.7153
-0.6274,-0.6177
-0.647,-0.5371
-0.6177,-0.4565
-0.5859,-0.3784
-0.6055,-0.2686
-0.5664,-0.188
-0.5566,-0.0879
-0.5762,-0.0098
-0.5566,0.0806
-0.5371,0.1807
-0.5371,0.2783
-0.5273,0.3589
-0.5078,0.459
-0.5176,0.5371
-0.4761,0.6274
-0.4663,0.708
-0.4272,0.7861
-0.4175,0.8569
-0.3174,0.9253
-0.2881,0.9961
-0.2075,1.0645
-0.1489,1.1255
-0.0781,1.1938
0.0098,1.2354
0.0415,1.2744
0.1196,1.3354
0.1709,1.3745
0.2197,1.4429
0.2686,1.4844
0.3003,1.5332
0.3394,1.582
0.3784,1.6235
0.3882,1.6724
0.4395,1.7334
0.4492,1.7725
0.4688,1.8213
0.498,1.8823
0.5176,1.9409
0.5591,2.002
0.5688,2.0605
0.5469,2.1216
0.5688,2.1704
0.6079,2.2314
0.6274,2.2705
0.6567,2.2998
0.6665,2.3706
0.708,2.4194
0.708,2.4683
0.7373,2.5195
0.7471,2.5488
0.7666,2.5977
0.7666,2.6489
0.7764,2.6685
0.7959,2.7075
0.8276,2.7588
0.8374,2.8076
0.8472,2.8369
0.8569,2.8662
0.8667,2.9077
0.8862,2.9272
0.8862,2.9565
0.9058,2.9858
0.9058,3.0078
0.9058,3.0273
0.9058,3.0371
0.957,3.0469
0.9351,3.0566
0.9351,3.0371
0.957,3.0273
0.9253,3.0078
0.647,2.9663
0.9473,2.8979
0.9473,2.8174
0.9155,2.7588
0.9253,2.688
0.9058,2.6392
0.8862,2.5684
0.896,2.5
0.8765,2.4292
0.8765,2.3901
0.8765,2.3193
0.8569,2.2412
0.8569,2.1899
0.8472,2.1118
0.8276,2.0605
0.8374,1.9604
0.8276,1.8921
0.7959,1.8115
0.8057,1.7334
0.7959,1.6431
0.7959,1.5527
0.7568,1.4648
0.7666,1.3745
0.7568,1.2744
0.7471,1.1743
0.7471,1.0767
0.7471,0.9766
0.7275,0.8765
0.7275,0.7764
0.7178,0.708
0.7275,0.6177
0.7275,0.5078
0.708,0.4395
0.6763,0.3491
0.6763,0.2588
0.6763,0.1807
0.6567,0.0708
0.6665,0
0.647,-0.0879
0.6274,-0.188
0.647,-0.2686
0.6274,-0.3589
0.6079,-0.4468
0.5981,-0.5273
0.5688,-0.6274
0.5469,-0.7153
0.5273,-0.7861
0.4785,-0.8765
0.4395,-0.9644
0.3687,-1.0254
0.3198,-1.1035
0.249,-1.1548
0.1587,-1.2231
0.0806,-1.2646
0.0195,-1.3232
-0.0391,-1.3525
-0.0781,-1.4233
-0.1587,-1.4624
-0.188,-1.5112
-0.249,-1.543
-0.2686,-1.5918
-0.3174,-1.6406
-0.3369,-1.7017
-0.3589,-1.7505
-0.3784,-1.7822
-0.3882,-1.8506
-0.4272,-1.9116
-0.4468,-1.9507
-0.4565,-2.019
-0.4883,-2.0703
-0.5176,-2.1191
-0.5176,-2.1802
-0.5273,-2.2192
-0.5469,-2.2778
-0.5664,-2.3193
-0.5859,-2.3682
-0.6274,-2.4072
-0.6274,-2.4585
-0.6177,-2.4878
-0.647,-2.5366
-0.6763,-2.5879
-0.6567,-2.6172
-0.6958,-2.666
-0.7056,-2.7075
-0.7153,-2.7466
-0.7251,-2.7856
-0.7568,-2.8271
-0.7568,-2.8662
-0.7861,-2.9053
-0.7959,-2.9248
-0.7861,-2.9565
-0.8154,-2.9858
-0.7959,-2.9956
-0.8154,-3.0054
-0.835,-3.0347
-0.8154,-3.0542
-0.8252,-3.0444
-0.8252,-3.0542
-0.8252,-3.0347
-0.8252,-3.0347
-0.8447,-2.9858
-0.7764,-2.915
-0.8154,-2.8467
-0.8154,-2.7759
-0.8154,-2.7271
-0.8057,-2.6465
-0.7861,-2.5879
-0.7959,-2.5171
-0.8057,-2.4683
-0.7666,-2.4194
-0.7861,-2.3291
-0.7764,-2.2681
-0.7666,-2.1997
-0.7568,-2.1289
-0.7471,-2.0605
-0.7349,-1.9702
-0.7251,-1.9116
-0.7251,-1.8213
-0.7153,-1.7505
-0.7153,-1.6626
-0.686,-1.5723
-0.6665,-1.4819
-0.6665,-1.394
-0.6763,-1.2842
-0.6665,-1.2036
-0.647,-1.0938
-0.6665,-1.0059
-0.647,-0.9058
-0.6274,-0.8057
-0.6372,-0.7251
-0.6177,-0.6274
-0.6274,-0.5371
-0.6274,-0.4565
-0.6055,-0.3467
-0.5957,-0.2686
-0.6055,-0.188
-0.5859,-0.1001
-0.5762,0
-0.5664,0.0903
-0.5664,0.1709
-0.5273,0.2588
-0.5273,0.3589
-0.5078,0.4395
-0.5176,0.5176
-0.4761,0.6079
-0.4468,0.6885
-0.4272,0.7861
-0.3882,0.8569
-0.3687,0.9155
-0.2783,1.0059
-0.2295,1.0547
-0.1392,1.1255
-0.0781,1.1841
0,1.2354
0.061,1.2744
0.1196,1.3232
0.1587,1.3843
0.21,1.4429
0.2588,1.4746
0.3003,1.5137
0.3394,1.582
0.3687,1.6235
0.3979,1.6821
0.4297,1.7236
0.4395,1.7627
0.4785,1.8213
0.5078,1.8823
0.5176,1.9409
0.5469,2.002
0.5469,2.0605
0.5884,2.1216
0.5688,2.1704
0.5981,2.2192
0.647,2.2803
0.6665,2.3193
0.6665,2.3804
0.6982,2.3999
0.7178,2.4585
0.7275,2.4902
0.7373,2.5488
0.7666,2.5781
0.7764,2.6196
0.7861,2.6685
0.8057,2.7075
0.8276,2.7368
0.8374,2.7979
0.8472,2.8271
0.8569,2.8662
0.8862,2.8882
0.896,2.9272
0.9155,2.9761
0.9253,2.9761
0.9155,3.0078
0.9155,3.0176
0.9253,3.0273
0.9351,3.0273
0.9473,3.0371
0.9473,3.0371
0.9351,3.0273
0.9473,3.0273
0.7178,2.9468
0.9766,2.8882
0.9253,2.8271
0.9155,2.7783
0.9253,2.7075
0.9155,2.6587
0.8862,2.5781
0.8862,2.5195
0.8862,2.4487
0.8569,2.3804
0.8569,2.3193
0.8667,2.251
0.8472,2.1802
0.8472,2.1216
0.8374,2.041
0.8057,1.9727
0.8179,1.8921
0.8057,1.8213
0.7764,1.7334
0.7764,1.6431
0.7861,1.5625
0.7666,1.4648
0.7764,1.3745
0.7568,1.2939
0.7471,1.1841
0.7471,1.0767
0.7568,0.9863
0.7373,0.8862
0.7275,0.7861
0.7275,0.6982
0.7275,0.6079
0.6982,0.5273
0.6982,0.4395
0.6885,0.3491
0.6763,0.2686
0.647,0.1709
0.6885,0.0903
0.647,-0.0195
0.6372,-0.1001
0.6274,-0.1782
0.6079,-0.2783
0.6079,-0.3589
0.6177,-0.4468
0.5884,-0.5273
0.5591,-0.6177
0.5469,-0.7153
0.5078,-0.7959
0.4785,-0.8765
0.4492,-0.9546
0.3882,-1.0449
0.3296,-1.1035
0.2393,-1.1646
0.1807,-1.2134
0.1001,-1.2744
